코드,제형,주성분명칭,분류번호,투여,함량,단위
325000BIS,IS,dextrose,349,주사,22.7,g/1ℓ
325000BIS,IS,magnesium chloride,349,주사,50.8,mg/1ℓ
325000BIS,IS,sodium chloride,349,주사,5.38,g/1ℓ
325000BIS,IS,sodium lactate,349,주사,4.48,g/1ℓ
325100BIS,IS,calcium chloride,349,주사,0.3855,g(0.257mg/mL)(2백)
325100BIS,IS,dextrose,349,주사,37.5,g(25mg/mL)(2백)
325100BIS,IS,magnesium chloride,349,주사,0.153,g(0.102mg/mL)(2백)
325100BIS,IS,sodium chloride,349,주사,8.679,g(5.786mg/mL)(2백)
325100BIS,IS,sodium lactate solution,349,주사,11.7705,g(7.847mg/mL)(2백)
325200BIS,IS,calcium chloride(2백),349,주사,385.5,mg/1.5ℓ
325200BIS,IS,dextrose monohydrate(2백),349,주사,41.25,g/1.5ℓ
325200BIS,IS,magnesium chloride(2백),349,주사,76.5,mg/1.5ℓ
325200BIS,IS,sodium chloride(2백),349,주사,8.07,g/1.5ℓ
325200BIS,IS,sodium lactate(2백),349,주사,6.72,g/1.5ℓ
325300BIS,IS,calcium chloride,349,주사,0.3855,g(0.257mg/mL)(2백)
325300BIS,IS,dextrose,349,주사,70.125,g(46.75mg/mL)(2백)
325300BIS,IS,magnesium chloride,349,주사,0.153,g(0.102mg/mL)(2백)
325300BIS,IS,sodium chloride,349,주사,8.679,g(5.786mg/mL)(2백)
325300BIS,IS,sodium lactate solution,349,주사,11.7705,g(7.847mg/mL)(2백)
325400BIS,IS,calcium chloride(2백),349,주사,385.5,mg/1.5ℓ
325400BIS,IS,dextrose monohydrate(2백),349,주사,66,g/1.5ℓ
325400BIS,IS,magnesium chloride(2백),349,주사,76.5,mg/1.5ℓ
325400BIS,IS,sodium chloride(2백),349,주사,8.07,g/1.5ℓ
325400BIS,IS,sodium lactate(2백),349,주사,6.72,g/1.5ℓ
325500BIS,IS,calcium chloride(2백),349,주사,257,mg/1ℓ
325500BIS,IS,dextrose(2백),349,주사,25,g/1ℓ
325500BIS,IS,magnesium chloride(2백),349,주사,76,mg/1ℓ
325500BIS,IS,sodium chloride(2백),349,주사,5.757,g/1ℓ
325500BIS,IS,sodium lactate(2백),349,주사,4.203,g/1ℓ
325600BIS,IS,calcium chloride(2백),349,주사,257,mg/1ℓ
325600BIS,IS,dextrose(2백),349,주사,42.5,g/1ℓ
325600BIS,IS,magnesium chloride(2백),349,주사,76,mg/1ℓ
325600BIS,IS,sodium chloride(2백),349,주사,5.757,g/1ℓ
325600BIS,IS,sodium lactate(2백),349,주사,4.203,g/1ℓ
325700BIS,IS,calcium chloride(2백),349,주사,385.5,mg/1.5ℓ
325700BIS,IS,dextrose monohydrate(2백),349,주사,24.75,g/1.5ℓ
325700BIS,IS,magnesium chloride(2백),349,주사,76.5,mg/1.5ℓ
325700BIS,IS,sodium chloride(2백),349,주사,8.07,g/1.5ℓ
325700BIS,IS,sodium lactate(2백),349,주사,6.72,g/1.5ℓ
325800BIS,IS,calcium chloride,349,주사,128.5,mg/500ml
325800BIS,IS,dextrose,349,주사,19.325,g/500ml
325800BIS,IS,magnesium chloride,349,주사,76,mg/500ml
325800BIS,IS,sodium chloride,349,주사,2.835,g/500ml
325800BIS,IS,sodium lactate,349,주사,1.96,g/500ml
325900BIS,IS,calcium chloride,349,주사,1.2865,g(0.2573mg/mL)
325900BIS,IS,dextrose,349,주사,113.6,g(22.72mg/mL)
325900BIS,IS,magnesium chloride,349,주사,0.5085,g(0.1017mg/mL)
325900BIS,IS,sodium chloride,349,주사,28.93,g(5.786mg/mL)
325900BIS,IS,sodium lactate solution,349,주사,39.235,g(7.847mg/mL)
326000BIS,IS,calcium chloride,349,주사,1.2865,g(0.2573mg/mL)
326000BIS,IS,dextrose,349,주사,212.5,g(42.5mg/mL)
326000BIS,IS,magnesium chloride,349,주사,0.5085,g(0.1017mg/mL)
326000BIS,IS,sodium chloride,349,주사,28.93,g(5.786mg/mL)
326000BIS,IS,sodium lactate solution,349,주사,39.235,g(7.847mg/mL)
326100BIS,IS,calcium chloride,349,주사,257,mg/4.5ℓ
326100BIS,IS,dextrose monohydrate,349,주사,15,g/4.5ℓ
326100BIS,IS,magnesium chloride,349,주사,152,mg/4.5ℓ
326100BIS,IS,sodium chloride,349,주사,"5,670",mg/4.5ℓ
326100BIS,IS,sodium lactate,349,주사,"3,922",mg/4.5ℓ
326200BIS,IS,calcium chloride,349,주사,257,mg/4.5ℓ
326200BIS,IS,dextrose monohydrate,349,주사,25,g/4.5ℓ
326200BIS,IS,magnesium chloride,349,주사,152,mg/4.5ℓ
326200BIS,IS,sodium chloride,349,주사,"5,670",mg/4.5ℓ
326200BIS,IS,sodium lactate,349,주사,"3,922",mg/4.5ℓ
326300BIS,IS,calcium chloride,349,주사,257,mg
326300BIS,IS,dextrose monohydrate,349,주사,42.5,g
326300BIS,IS,magnesium chloride,349,주사,152,mg
326300BIS,IS,sodium chloride,349,주사,"5,670",mg
326300BIS,IS,sodium lactate,349,주사,"3,922",mg
326400BIS,IS,adenosine,349,주사,1.34,g/1ℓ
326400BIS,IS,allopurinol,349,주사,136,mg/1ℓ
326400BIS,IS,glutathione,349,주사,922,mg/1ℓ
326400BIS,IS,lactobionic acid,349,주사,35.83,g/1ℓ
326400BIS,IS,pentafraction,349,주사,50,g/1ℓ
326400BIS,IS,raffinose 5H2O,349,주사,17.83,g/1ℓ
326500BIS,IS,2-ketoglutaric acid monopotassium salt,349,주사,0.1842,g(0.1842mg/mL)
326500BIS,IS,calcium chloride,349,주사,2.2,mg(2.2μg/mL)
326500BIS,IS,histidine,349,주사,27.9289,g(27.9289mg/mL)
326500BIS,IS,histidine hydrochloride,349,주사,3.7733,g(3.7733mg/mL)
326500BIS,IS,magnesium chloride,349,주사,0.8132,g(0.8132mg/mL)
326500BIS,IS,manitol,349,주사,5.4651,g(5.4651mg/mL)
326500BIS,IS,potassium chloride,349,주사,0.671,g(0.671mg/mL)
326500BIS,IS,sodium chloride,349,주사,0.8766,g(0.8766mg/mL)
326500BIS,IS,tryptophan,349,주사,0.4085,g(0.4085mg/mL)
326600BIJ,IJ,d-sorbitol,391,주사,1,g(0.1g/mL)
326600BIJ,IJ,ornithine aspartate,391,주사,5,g(0.5g/mL)
326700BIJ,IJ,betaine glucuronate,391,주사,150,mg
326700BIJ,IJ,diethanolamine glucuronate,391,주사,40,mg
326700BIJ,IJ,nicotinamide ascorbate,391,주사,20,mg
326800BIJ,IJ,betaine glucuronate,391,주사,750,mg
326800BIJ,IJ,diethanolamine glucuronate,391,주사,200,mg
326800BIJ,IJ,nicotinamide ascorbate,391,주사,100,mg
326900BIJ,IJ,adenosine,391,주사,100,mg
326900BIJ,IJ,choline orotate,391,주사,1,g
326900BIJ,IJ,cyanocobalamin,391,주사,2.5,mg
326900BIJ,IJ,hydroxocovalamine,391,주사,2.5,mg
327000BIJ,IJ,adenosine,391,주사,1,g
327000BIJ,IJ,choline orotate,391,주사,"1,000",mg
327000BIJ,IJ,cyanocobalamin,391,주사,2.5,mg
327000BIJ,IJ,hydroxocobalamin,391,주사,2.5,mg
327100BIJ,IJ,adenosine triphosphate,391,주사,5,mg
327100BIJ,IJ,antitoxic liver ext.,391,주사,25,mg
327100BIJ,IJ,carnitine HCl,391,주사,184,mg
327100BIJ,IJ,carnitine orotate,391,주사,300,mg
327100BIJ,IJ,cyanocobalamin,391,주사,250,㎍
327100BIJ,IJ,pyridoxine HCl,391,주사,25,mg
327200BIJ,IJ,arginine HCl,391,주사,200,mg
327200BIJ,IJ,citrulline,391,주사,100,mg
327200BIJ,IJ,cyanocobalamin,391,주사,500,㎍
327200BIJ,IJ,folic acid,391,주사,1,mg
327200BIJ,IJ,nicotinamide,391,주사,15,mg
327200BIJ,IJ,ornithine HCl,391,주사,100,mg
327300BIJ,IJ,aminoactic acid,392,주사,0.4,g(20mg/mL)
327300BIJ,IJ,ammonium glycyrrhizinate,392,주사,53,mg(2.65mg/mL)
327300BIJ,IJ,L-cystein hydrochloride,392,주사,20,mg(1mg/mL)
327400BIJ,IJ,cysteine HCl,392,주사,5,mg
327400BIJ,IJ,glycine,392,주사,100,mg
327400BIJ,IJ,glycyrrhizin acid dipotassium,392,주사,10,mg
327500BIJ,IJ,cysteine HCl,392,주사,20,mg
327500BIJ,IJ,glycine,392,주사,400,mg
327500BIJ,IJ,glycyrrhizin acid dipotassium,392,주사,40,mg
327600BIJ,IJ,arginine HCl,392,주사,7.225,g
327600BIJ,IJ,sodium asparaginate,392,주사,387.5,mg
327600BIJ,IJ,sodium bicarbonate,392,주사,567.5,mg
327600BIJ,IJ,dexpanthenol,392,주사,5,mg
327600BIJ,IJ,d-sorbitol,392,주사,12.5,g
327600BIJ,IJ,malic acid,392,주사,3.675,g
327600BIJ,IJ,monomorpholine ethylrutin,392,주사,60,mg
327600BIJ,IJ,nicotinamide,392,주사,25,mg
327600BIJ,IJ,potassium chloride,392,주사,745,mg
327600BIJ,IJ,pyridoxine HCl,392,주사,20,mg
327600BIJ,IJ,riboflavin sodium phosphate,392,주사,3,mg
327700BIJ,IJ,acyldehydrogenase,395,주사,"8,000",U
327700BIJ,IJ,lipase,395,주사,500,U
327700BIJ,IJ,monoamine oxidase,395,주사,"4,000",U
327700BIJ,IJ,tyrosinase,395,주사,"4,000",U
327800BIJ,IJ,"insulin, human",396,주사,"1,000",I.U
327800BIJ,IJ,protamine sulfate,396,주사,3.6,mg
327900BIJ,IJ,fructose,399,주사,10,g/200ml
327900BIJ,IJ,glycerin,399,주사,20,g/200ml
328000BIJ,IJ,phoselit,399,주사,30,mg
328000BIJ,IJ,thiamine HCl,399,주사,10,mg
328100BIJ,IJ,dextrose,399,주사,13.75,g/500ml
328100BIJ,IJ,glycerin,399,주사,50,g/500ml
328100BIJ,IJ,sodium chloride,399,주사,2.25,g/500ml
328200BIJ,IJ,fructose,399,주사,10,g(50mg/mL)
328200BIJ,IJ,glycerin,399,주사,20,g(0.1g/mL)
328200BIJ,IJ,sodium chloride,399,주사,1.8,g(9mg/mL)
328301BIJ,IJ,actovegin concentrate,419,주사,5,ml
328302CCM,CM,actovegin concentrate,419,외용,0.04,ml
328400BIJ,IJ,aconitum tinc-D2,490,주사,1.32,μL(0.6μL/mL)
328400BIJ,IJ,arnica tinc-D2,490,주사,2.2,μL(1μL/mL)
328400BIJ,IJ,belladonna tinc-D2,490,주사,2.2,μL(1μL/mL)
328400BIJ,IJ,bellis perennis tinc-D2,490,주사,1.1,μL(0.5μL/mL)
328400BIJ,IJ,calendula tinc-D2,490,주사,2.2,μL(1μL/mL)
328400BIJ,IJ,chamomilla tinc-D3,490,주사,2.2,μL(1μL/mL)
328400BIJ,IJ,echinacea angustifol tinc-D2,490,주사,0.55,μL(0.25μL/mL)
328400BIJ,IJ,echinacea purpurea tinc-D2,490,주사,0.55,μL(0.25μL/mL)
328400BIJ,IJ,hamamelis tinc-D1,490,주사,0.22,μL(0.1μL/mL)
328400BIJ,IJ,hepar sulfuris-D3,490,주사,2.2,mg(1mg/mL)
328400BIJ,IJ,hypericum tinc-D2,490,주사,0.66,μL(0.3μL/mL)
328400BIJ,IJ,mercur solub hahnem-D6,490,주사,1.1,mg(0.5mg/mL)
328400BIJ,IJ,millefolium tinc-D3,490,주사,2.2,μL(1μL/mL)
328400BIJ,IJ,symphytum tinc-D6,490,주사,2.2,μL(1μL/mL)
328500BIJ,IJ,ampicillin sodium,611,주사,0.5,g
328500BIJ,IJ,sulbactam sodium,611,주사,0.25,g
328600BIJ,IJ,ampicillin sodium,611,주사,1,g
328600BIJ,IJ,sulbactam sodium,611,주사,0.5,g
328700BIJ,IJ,penicillin G potassium,611,주사,"1,000",KI.U
328700BIJ,IJ,procaine penicillin G,611,주사,"3,000",KI.U
328800BIJ,IJ,sodium chloride(0.9%),612,주사,0.9,g(9mg/mL)
328800BIJ,IJ,tobramycin sulfate,612,주사,80,mg(0.8mg/mL)
328900BIJ,IJ,amoxicillin sodium,618,주사,0.5,g
328900BIJ,IJ,clavulanate potassium,618,주사,0.1,g
329000BIJ,IJ,amoxicillin sodium,618,주사,1,g
329000BIJ,IJ,clavulanate potassium,618,주사,0.2,g
329100BIJ,IJ,ampicillin sodium,618,주사,500,mg
329100BIJ,IJ,sulbactam sodium,618,주사,250,mg
329200BIJ,IJ,ampicillin sodium,618,주사,"1,000",mg
329200BIJ,IJ,sulbactam sodium,618,주사,500,mg
329300BIJ,IJ,cilastatin sodium (as cilastatin),618,주사,0.25,g
329300BIJ,IJ,imipenem hydrate (as imipenem),618,주사,0.25,g
329400BIJ,IJ,cilastatin sodium (as cilastatin),618,주사,0.5,g
329400BIJ,IJ,imipenem hydrate (as imipenem),618,주사,0.5,g
329500BIJ,IJ,piperacillin sodium,618,주사,2,g
329500BIJ,IJ,tazobactam,618,주사,0.25,g
329600BIJ,IJ,piperacillin sodium,618,주사,4,g
329600BIJ,IJ,tazobactam,618,주사,0.5,g
329700BIJ,IJ,clavulanate potassium,618,주사,0.1,g
329700BIJ,IJ,ticarcillin sodium,618,주사,1.5,g
329800BIJ,IJ,clavulanate potassium,618,주사,0.2,g
329800BIJ,IJ,ticarcillin sodium,618,주사,3,g
329900BIJ,IJ,cefoperazone sodium,619,주사,0.5,g
329900BIJ,IJ,sulbactam sodium,619,주사,0.5,g
330000BIJ,IJ,sulfamethoxazole,621,주사,0.4,g(80mg/mL)
330000BIJ,IJ,trimethoprim,621,주사,80,mg(16mg/mL)
330100BIJ,IJ,histamine 2HCl,639,주사,0.15,㎍
330100BIJ,IJ,human immunoglobulin,639,주사,12,mg
330200BIJ,IJ,ioxitalamic acid,721,주사,506.8,mg
330200BIJ,IJ,meglumine,721,주사,153.5,mg
330300BIJ,IJ,ioxaglic acid,721,주사,533.3,mg
330300BIJ,IJ,meglumine,721,주사,52.4,mg
330300BIJ,IJ,sodium hydroxide,721,주사,6.1,mg
330400BIJ,IJ,ioxitalamic acid,721,주사,0.5928,g
330400BIJ,IJ,meglumine,721,주사,0.1514,g
330400BIJ,IJ,sodium chloride,721,주사,1.541,g
330500BIJ,IJ,ioxitalamic acid,721,주사,642.3,mg
330500BIJ,IJ,meglumine,721,주사,119.2,mg
330500BIJ,IJ,sodium hydroxide,721,주사,15.41,mg
330600BIJ,IJ,iothalamic acid,729,주사,13.35,g
330600BIJ,IJ,meglumine,729,주사,4.35,g
330700BIJ,IJ,candida antigen,729,주사,"2,000",MU/ml
330700BIJ,IJ,diphteria antigen,729,주사,"1,100,000",MU/ml
330700BIJ,IJ,proteus antigen,729,주사,150,MU/ml
330700BIJ,IJ,streptococcus antigen,729,주사,"2,000",MU/ml
330700BIJ,IJ,tetanus antigen,729,주사,"550,000",MU/ml
330700BIJ,IJ,trichophyton antigen,729,주사,150,MU/ml
330700BIJ,IJ,tuberculin antigen,729,주사,"300,000",I.U/ml
330800CSP,SP,acetaminophen,114,외용,0.125,g
330800CSP,SP,dl-methionine,114,외용,12.5,mg
330900COS,OS,antazoline HCl,131,외용,150,㎍
330900COS,OS,tetrahydrozoline HCl,131,외용,120,㎍
331000COS,OS,antazoline HCl,131,외용,500,㎍
331000COS,OS,tetrahydrozoline HCl,131,외용,400,㎍
331100COS,OS,cetrimide,131,외용,100,㎍
331100COS,OS,dexpanthenol,131,외용,50,mg
331200COO,OO,colistin Na methanesulfonate,131,외용,5,mg
331200COO,OO,erythromycin lactobionate,131,외용,5,mg
331200COS,OS,colistin Na methanesulfonate,131,외용,5,mg
331200COS,OS,erythromycin lactobionate,131,외용,5,mg
331300COO,OO,colistin sodium methanesulfonate,131,외용,5,mg
331300COO,OO,tetracycline HCl,131,외용,5,mg
331400COO,OO,dexamethasone,131,외용,500,㎍
331400COO,OO,neomycin sulfate,131,외용,5,mg
331500COO,OO,dexamethasone,131,외용,1,mg
331500COO,OO,tobramycin,131,외용,3,mg
331500COS,OS,dexamethasone,131,외용,1,mg
331500COS,OS,tobramycin,131,외용,3,mg
331700COS,OS,dextran 70,131,외용,800,㎍
331700COS,OS,hydroxypropylmethylcellulose 2910,131,외용,2.4,mg
331800COS,OS,dextran 70,131,외용,1,mg
331800COS,OS,hypromellose 2910,131,외용,3,mg
331900COS,OS,dextran 70,131,외용,1,mg
331900COS,OS,polyethylene glycol 400,131,외용,2,mg
332000COS,OS,diclofenac sodium,131,외용,1,mg
332000COS,OS,gentamicin sulfate,131,외용,3,mg
332100COS,OS,dorzolamide HCl,131,외용,22.26,mg
332100COS,OS,timolol maleate,131,외용,6.83,mg
332200COO,OO,fluorometholone,131,외용,1,mg
332200COO,OO,gentamicin sulfate,131,외용,3,mg
332200COS,OS,fluorometholone,131,외용,1,mg
332200COS,OS,gentamicin sulfate,131,외용,3,mg
332300COS,OS,fluorometholone,131,외용,1,mg
332300COS,OS,tetrahydrozoline hydrochloride,131,외용,0.25,mg
332400COS,OS,glycerin,131,외용,2,mg
332400COS,OS,naphazoline hydrochloride,131,외용,0.12,mg
332500COS,OS,glycyrrhizin acid dipotassium,131,외용,1,mg
332500COS,OS,sulfamethoxazole sodium,131,외용,40,mg
332600COS,OS,naphazoline hydrochloride,131,외용,0.25,mg
332600COS,OS,pheniramine maleate,131,외용,3,mg
332700COS,OS,phenylephrine HCl,131,외용,5,mg
332700COS,OS,tropicamide,131,외용,5,mg
332800COS,OS,pilocarpine HCl,131,외용,10,mg
332800COS,OS,timolol maleate,131,외용,5,mg
332900COS,OS,polyvinyl alcohol,131,외용,5,mg
332900COS,OS,povidone,131,외용,6,mg
333000COS,OS,potassium iodide,131,외용,3,mg
333000COS,OS,sodium iodide,131,외용,3,mg
333100COS,OS,sodium chondroithin sulfate,131,외용,18.5,mg(37mg/mL)
333100COS,OS,sodium hyaluronate,131,외용,14.6,mg(29.2mg/mL)
333200COO,OO,aminoquine carbamide HCl,131,외용,3,mg
333200COO,OO,neomycin HCl,131,외용,1.6,mg
333200COO,OO,prednisolone,131,외용,2.5,mg
333300COS,OS,boric acid,131,외용,12.13,mg
333300COS,OS,catalin sodium,131,외용,870,㎍
333300COS,OS,taurine,131,외용,62,mg
333400COS,OS,chloramphenicol,131,외용,5,mg
333400COS,OS,dexamethasone sodium phosphate,131,외용,1,mg
333400COS,OS,tetrahydrozoline hydrochloride,131,외용,250,μg
333500COO,OO,dexamethasone,131,외용,1,mg
333500COO,OO,neomycin sulfate,131,외용,3.5,mg
333500COO,OO,polymixin B sulfate,131,외용,"6,000",I.U
333600COS,OS,dexamethasone,131,외용,1,mg
333600COS,OS,neomycin sulfate,131,외용,3.5,mg
333600COS,OS,polymixin B sulfate,131,외용,"6,000",I.U
333700COS,OS,gramicidine,131,외용,25,I.U
333700COS,OS,neomycin sulfate,131,외용,"1,700",I.U
333700COS,OS,polymixin B sulfate,131,외용,"5,000",I.U
333800COS,OS,phenylephrine HCl,131,외용,1.2,mg
333800COS,OS,prednisolone acetate,131,외용,2,mg
333800COS,OS,sulfacetamide sodium,131,외용,100,mg
333900COS,OS,potassium iodide,131,외용,3,mg
333900COS,OS,sodium iodide,131,외용,3,mg
333900COS,OS,thiamine nitrate,131,외용,1,mg
334000COS,OS,sodium ascorbate,131,외용,2.25,mg(A액중)
334000COS,OS,thiamine hydrochloride,131,외용,2.5,mg(A액중)
334000COS,OS,calcium formate,131,외용,5,mg(B액중)
334000COS,OS,rubidium iodide,131,외용,8,mg(B액중)
334000COS,OS,sodium iodide,131,외용,12,mg(B액중)
334100CLQ,LQ,ciprofloxacin HCl,132,외용,2.329,mg
334100CLQ,LQ,hydrocortisone,132,외용,10,mg
334100CSS,SS,ciprofloxacin HCl,132,외용,2.329,mg
334100CSS,SS,hydrocortisone,132,외용,10,mg
334200CLQ,LQ,colistin sulfate,132,외용,3,mg
334200CLQ,LQ,hydrocortisone acetate,132,외용,10,mg
334200CLQ,LQ,neomycin sulfate,132,외용,3.3,mg
334300CSI,SI,sodium cromoglycate,149,외용,260,mg
334300CSI,SI,xylometazoline HCl,149,외용,3.25,mg
334400CAE,AE,fenoterol Hbr,222,외용,10,mg
334400CAE,AE,ipratropium bromide,222,외용,4,mg
334500CSI,SI,fluticasone propionate,222,외용,6,mg
334500CSI,SI,salmeterol xinafoate(as salmeterol),222,외용,3,mg
334600CSI,SI,fluticasone propionate,222,외용,15,mg
334600CSI,SI,salmeterol xinafoate(as salmeterol),222,외용,3,mg
334700CSI,SI,fluticasone propionate,222,외용,30,mg
334700CSI,SI,salmeterol xinafoate(as salmeterol),222,외용,3,mg
334800CAE,AE,ipratropium bromide,222,외용,4.2,mg
334800CAE,AE,salbutamol sulfate,222,외용,24,mg
334900CSP,SP,etofylline,222,외용,12,mg
334900CSP,SP,eucalyptol,222,외용,36,mg
334900CSP,SP,guaifenesin,222,외용,30,mg
334900CSP,SP,oxeladin citrate,222,외용,5,mg
335000CSP,SP,carbetapentane base,222,외용,8,mg
335000CSP,SP,eucalyptol,222,외용,10,mg
335000CSP,SP,guaifenesin,222,외용,10,mg
335000CSP,SP,terpin hydrate,222,외용,15,mg
335000CSP,SP,terpineol,222,외용,5,mg
335100CSP,SP,carbetapentane base,222,외용,20,mg
335100CSP,SP,eucalyptol,222,외용,30,mg
335100CSP,SP,guaifenesin,222,외용,15,mg
335100CSP,SP,terpin hydrate,222,외용,50,mg
335100CSP,SP,terpineol,222,외용,20,mg
335200CSP,SP,etofylline,229,외용,12,mg
335200CSP,SP,eucalyptol,229,외용,35,mg
335200CSP,SP,guaifenesin,229,외용,30,mg
335200CSP,SP,oxeladin citrate,229,외용,5,mg
335300CSP,SP,etofylline,229,외용,25,mg
335300CSP,SP,eucalyptol,229,외용,70,mg
335300CSP,SP,guaifenesin,229,외용,60,mg
335300CSP,SP,oxeladin citrate,229,외용,10,mg
335400CPA,PA,gelatine,231,외용,5.84,mg
335400CPA,PA,liquid paraffine,231,외용,56.8,mg
335400CPA,PA,pectin,231,외용,34.9,mg
335400CPA,PA,polyethylene glycol 20000,231,외용,2.99,mg
335400CPA,PA,sodium carboxymethylcellulose,231,외용,11.7,mg
335400CPA,PA,triamcinolone acetonide,231,외용,1,mg
335500CLQ,LQ,calcium chloride,231,외용,0.15,mg
335500CLQ,LQ,carboxymethylcellulose sodium,231,외용,10,mg
335500CLQ,LQ,dipotassium phosphate,231,외용,0.34,mg
335500CLQ,LQ,d-sorbitol,231,외용,30,mg
335500CLQ,LQ,magnesium chloride,231,외용,5,mg
335500CLQ,LQ,potassium chloride,231,외용,1.2,mg
335500CLQ,LQ,sodium chloride,231,외용,0.84,mg
335600CLQ,LQ,dibasic sodium phosphate,238,외용,60,mg
335600CLQ,LQ,monobasic sodium phosphate,238,외용,160,mg
335700CLQ,LQ,dibasic sodium phosphate,238,외용,480,mg
335700CLQ,LQ,monobasic sodium phosphate,238,외용,180,mg
335800CLQ,LQ,D-sorbitol,238,외용,13.4,g(0.1985g/mL)
335800CLQ,LQ,sodium docusate,238,외용,10,mg(0.1481mg/mL)
335900CPC,PC,estradiol(usp),247,외용,13.4,mg
335900CPC,PC,norethindrone acetate(usp),247,외용,6.49,mg
336000CPC,PC,estradiol,247,외용,4,mg/1매(10㎠4매중)
336000CPC,PC,estradiol,247,외용,10,mg/1매(20㎠4매중)
336000CPC,PC,norethistrone acetate,247,외용,30,mg/1매(20㎠4매중)
336100CTB,TB,chlorquinaldol,255,외용,0.2,g
336100CTB,TB,promestriene,255,외용,10,mg
336200CTB,TB,estradiol,255,외용,30,㎍
336200CTB,TB,lactobacillus acidophilus(lyophilized),255,외용,"10,000",KI.U
336300CTB,TB,chloramphenicol,255,외용,250,mg
336300CTB,TB,dichloroacetamide chloropropiophenone,255,외용,2.5,mg
336300CTB,TB,myristylethanolamine-lactate,255,외용,10,mg
336400CCS,CS,neomycin sulfate (as neomycin),255,외용,35,KI.U
336400CCS,CS,nystatin,255,외용,100,KI.U
336400CCS,CS,polymixin B sulfate,255,외용,35,KI.U
336400CSP,SP,neomycin sulfate (as neomycin),255,외용,35,KI.U
336400CSP,SP,nystatin,255,외용,100,KI.U
336400CSP,SP,polymyxin B sulfate,255,외용,35,KI.U
336500COM,OM,aluminium acetotartrate,256,외용,20,mg
336500COM,OM,trichlorisobutyl ester salicylate,256,외용,100,mg
336600CSP,SP,aluminium acetotartrate,256,외용,48,mg
336600CSP,SP,trichlorisobutyl ester salicylate,256,외용,240,mg
336700CCM,CM,lidocaine HCl,256,외용,20,mg
336700CCM,CM,tribenoside,256,외용,50,mg
336800COM,OM,ruscogenines,256,외용,5,mg
336800COM,OM,trimebutine,256,외용,58,mg
336900CSP,SP,ruscogenines,256,외용,10,mg
336900CSP,SP,trimebutine,256,외용,120,mg
337000CSP,SP,aesculus hippocastanum L. seeds ext.,256,외용,60,mg
337000CSP,SP,hamamelis barks ext.,256,외용,80,mg
337000CSP,SP,hamamelis barks powder,256,외용,120,mg
337100CCM,CM,chlorquinaldol,256,외용,10,mg
337100CCM,CM,fluocortolone trimethylacetate,256,외용,1,mg
337100CCM,CM,lidocaine HCl,256,외용,20,mg
337200CSP,SP,dibucaine hydrochloride,256,외용,5,mg
337200CSP,SP,esculoside,256,외용,10,mg
337200CSP,SP,hydrocortisone,256,외용,5,mg
337300COM,OM,benzocaine,256,외용,50,mg
337300COM,OM,camphor,256,외용,10,mg
337300COM,OM,hamamelis water,256,외용,50,mg
337300COM,OM,menthol,256,외용,5,mg
337400CSP,SP,benzocaine,256,외용,70,mg
337400CSP,SP,camphor,256,외용,20,mg
337400CSP,SP,hamamelis water,256,외용,200,mg
337400CSP,SP,menthol,256,외용,10,mg
337500CCM,CM,caragenate,256,외용,25,mg
337500CCM,CM,lidocaine,256,외용,20,mg
337500CCM,CM,titanium dioxide,256,외용,20,mg
337500CCM,CM,zinc oxide,256,외용,20,mg
337600COM,OM,dibucaine hydrochloride,256,외용,5,mg
337600COM,OM,esculoside,256,외용,10,mg
337600COM,OM,hydrocortisone,256,외용,5,mg
337600COM,OM,neomycin-B-sulfate,256,외용,10,mg
337700COM,OM,light liquid paraffin,256,외용,140,mg
337700COM,OM,petrolatumsfertyyellow,256,외용,719,mg
337700COM,OM,phenylephrine hydrochloride,256,외용,2.5,mg
337700COM,OM,shark liver oil,256,외용,30,mg
337800COM,OM,aluminum chlorhydroxy allantoinate,256,외용,5,mg
337800COM,OM,dibucaine HCl,256,외용,3,mg
337800COM,OM,isopropyl methylphenol,256,외용,1,mg
337800COM,OM,prednisolone acetate,256,외용,2.5,mg
337800COM,OM,tocopherol acetate,256,외용,10,mg
337900COM,OM,aluminum chlorohydroxy allantoinate,256,외용,2.5,mg
337900COM,OM,chlorhexidine HCl,256,외용,2,mg
337900COM,OM,lidocaine,256,외용,30,mg
337900COM,OM,prednisolone,256,외용,500,㎍
337900COM,OM,tocopherol acetate,256,외용,10,mg
338000CSP,SP,aluminum chlorohydroxy allantoinate,256,외용,5,mg
338000CSP,SP,chlorhexidine HCl,256,외용,4,mg
338000CSP,SP,lidocaine,256,외용,60,mg
338000CSP,SP,prednisolone,256,외용,1,mg
338000CSP,SP,tocopherol acetate,256,외용,20,mg
338100COM,OM,ethyl aminobenzoate,256,외용,25,mg
338100COM,OM,hydrocortisone acetate,256,외용,5,mg
338100COM,OM,isopropylmethyl phenol,256,외용,1,mg
338100COM,OM,lysozyme chloride,256,외용,15,mg
338100COM,OM,tocopherol acetate,256,외용,10,mg
338100COM,OM,zinc oxide,256,외용,50,mg
338200COM,OM,allantoin chlorohydroxy aluminum,256,외용,5,mg
338200COM,OM,chlorhexidine HCl,256,외용,2,mg
338200COM,OM,ethyl aminobenzoate,256,외용,25,mg
338200COM,OM,hydrocortisone acetate,256,외용,5,mg
338200COM,OM,lysozyme chloride,256,외용,15,mg
338200COM,OM,tocopherol acetate,256,외용,10,mg
